No,id,version,lat,lon,°æµµ,Áö¹øÁÖ¼Ò,µµ·Î¸íÁÖ¼Ò
1,593198636,4,35.1919302,126.8422983,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ ½ÅÃ¢µ¿ 1188,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå½Å·Î 301
2,727511331,1,35.1942304,126.8452146,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ ½ÅÃ¢µ¿ 1174,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå½Å·Î 337
3,988795779,1,35.19317,126.8452499,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ ½ÅÃ¢µ¿ 647-42,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå½Å·Î 330
4,988797767,1,35.1918042,126.843927,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ ½ÅÃ¢µ¿ 651,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå½Å·Î 308
5,988797768,1,35.1919516,126.8447136,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ ½ÅÃ¢µ¿ 683-3,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå½Å·Î 306-7
6,991603339,1,35.1934687,126.8436074,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ ½ÅÃ¢µ¿ 1186,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ ¿Õ¹öµé·Î322¹ø±æ 31-9
7,991603340,1,35.1935706,126.8436645,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ ½ÅÃ¢µ¿ 1186,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ ¿Õ¹öµé·Î322¹ø±æ 31-13
8,991603341,1,35.1933461,126.8433722,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ ½ÅÃ¢µ¿ 1186,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ ¿Õ¹öµé·Î322¹ø±æ 27
9,991603342,1,35.1929098,126.8433067,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ ½ÅÃ¢µ¿ 1182-9,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå½Å·Î309¹ø±æ 14
10,991603343,1,35.1930067,126.8434654,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ ½ÅÃ¢µ¿ 1182-8,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå½Å·Î309¹ø±æ 12-5
